Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022
,and Environ.. PG Taught 32 15 6 31 16,* 41 21,10 24 9,7 28 11,7,,,,,,,,,
,Government UG Degree * 0 0 6 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 31 8 5 22 8,5 26 6,* 21 8,* 10 6,*,,,,,,,,,
,Health Policy PG Taught 0 0 0 * *,* * *,* 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 27 15 6 14 6,5 19 8,6 24 11,6 21 14,5,,,,,,,,,
,International UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,History PG Taught * 0 0 * *,* * 0,0 0 0,0 * 0,0,,,,,,,,,
,International UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught 11 * 0 10 *,* 8 *,* 11 *,* * 0,0,,,,,,,,,
,Language C.. UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 30 11 * 46 21,6 32 14,* 28 9,* 21 15,6,,,,,,,,,
,Management UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 * *,0,,,,,,,,,
,PG Taught 25 13 8 32 14,7 27 10,* 18 10,* 20 10,7,,,,,,,,,
,Mathematics UG Degree * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 * 0,0 5 0,0 0 0,0 * *,*,,,,,,,,,
,Media and C.. PG Taught 8 5 * 8 *,0 12 5,* * *,* 7 5,5,,,,,,,,,
,Methodology PG Taught 5 0 0 7 *,* 8 *,* 8 *,* * *,0,,,,,,,,,
,"Philosophy, UG Degree * 0 0 * 0",0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught * * * * *,* 0 0,0 * 0,0 * *,*,,,,,,,,,
,Psychological UG Degree * * 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,and Behavio.. PG Taught 7 * * 11 6,* 17 5,* 12 *,0 * *,*,,,,,,,,,
,School of Pu.. PG Taught 33 18 * 23 17,* 27 21,8 30 21,* 30 16,6,,,,,,,,,
,Social Policy UG Degree * 0 0 0 0,0 * 0,0 * *,0 0 0,0,,,,,,,,,
,PG Taught 11 5 * 12 5,* 13 6,5 8 6,* 9 5,*,,,,,,,,,
,Sociology UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 11 6 * 14 8,* 15 *,* 11 *,* 18 6,*,,,,,,,,,
,Statistics UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 12 * * 5 *,* 7 *,0 5 *,0 * 0,0,,,,,,,,,
Comoran,Government UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
(Comoros Isl.. Mathematics,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
Congo,Accounting UG Degree * 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
(Democratic,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Republic),,,,,,,,,,,,,,
,Economic UG Degree 0 0 0 * 0,0 * 0,0 * *,* 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Finance PG Taught * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Gender Stud.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Geography .. PG Taught * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 * 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,International.. PG Taught * * 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
Congo,Relations PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
(Democratic,,,,,,,,,,,,,,
Republic),Law School UG Degree * 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Management PG Taught * * * * 0,0 * 0,0 * *,0 * 0,0,,,,,,,,,
,Mathematics UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Social Policy UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Sociology PG Taught * * * * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Congo,Government UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
(Peoples,Health Policy PG Taught 0 0 0 0 0,0 0 0,0 * *,* * *,0,,,,,,,,,
Republic),,,,,,,,,,,,,,
,International.. UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Management UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,"Philosophy, .. UG Degree 0 0 0 0 0",0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Costa Rican,Accounting UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,European In.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Finance UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Gender Stud.. PG Taught * 0 0 * 0,0 * *,0 * 0,0 0 0,0,,,,,,,,,
,Geography UG Degree * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught * * 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 * *,0 * 0,0 0 0,0,,,,,,,,,
,Health Policy PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 5 * 0 * *,0 * 0,0 * *,0 * *,*,,,,,,,,,
,Language C.. UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School PG Taught * * * * *,0 * 0,0 * *,0 * *,*,,,,,,,,,
,Management PG Taught 5 * * * *,0 0 0,0 * *,* * *,*,,,,,,,,,
,Mathematics UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught * * 0 * *,0 * *,0 * 0,0 * *,*,,,,,,,,,
,Methodology PG Taught * * 0 * *,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,"Philosophy, .. UG Degree 0 0 0 0 0",0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Psychologic.. PG Taught * * * * *,0 * *,0 * 0,0 * 0,0,,,,,,,,,
,School of Pu.. PG Taught * * * * *,* * *,0 * *,0 * *,*,,,,,,,,,
,Social Policy PG Taught 0 0 0 * *,0 * *,0 * *,0 0 0,0,,,,,,,,,
,Sociology PG Taught * 0 0 * *,0 * *,* 0 0,0 * *,*,,,,,,,,,
Croatian,Accounting UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 * *,* 0 0,0 * *,*,,,,,,,,,
,Anthropology UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,History PG Taught * * 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Economics UG Degree 7 0 0 0 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 * *,0 * *,0 * 0,0,,,,,,,,,
,European In.. PG Taught * 0 0 * *,0 * *,* * *,* 0 0,0,,,,,,,,,
,Finance UG Degree * * 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 5 0 0 * 0,0 * 0,0 * 0,0 7 *,0,,,,,,,,,
,Gender Stud.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Geography UG Degree * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Croatian,and Environ.. PG Taught * * 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Government UG Degree * 0 0 * 0,0 * 0,0 0 0,0 * 0,*,,,,,,,,,
,PG Taught * 0 0 * *,* 0 0,0 * 0,0 * *,*,,,,,,,,,
,Health Policy PG Taught 0 0 0 * *,* 0 0,0 * 0,0 * *,*,,,,,,,,,
,International.. PG Taught 0 0 0 * 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,International.. UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,International UG Degree * 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * * * 0 0,0 0 0,0 * *,* * *,0,,,,,,,,,
,Language C.. UG Degree * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree * 0 0 * *,* * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 * *,* 0 0,0 * 0,0 * *,*,,,,,,,,,
,Management UG Degree 6 * 0 * *,* 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 7 * * 6 *,* * *,0 * *,* 6 *,*,,,,,,,,,
,Mathematics UG Degree * 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught * * * * *,* * 0,0 0 0,0 0 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,"Philosophy, .. UG Degree * 0 0 * 0",0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,and Behavio.. PG Taught * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Social Policy UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Sociology UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
Cuban,Accounting UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Relations PG Taught 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Mathematics UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Sociology UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
Cypriot,Law School PG Taught 0 0 0 0 0,0 0 0,* 0 0,0 0 0,0,,,,,,,,,
Cypriot,Accounting UG Degree 7 * * 13 *,* 9 *,* 18 6,* 13 5,*,,,,,,,,,
(European,PG Taught 0 0 0 * *,* 0 0,0 * 0,0 * *,*,,,,,,,,,
Union),,,,,,,,,,,,,,
,Anthropology UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * *,*,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree * 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,History PG Taught 0 0 0 * *,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree 10 0 0 12 *,* 8 *,* 9 0,0 15 *,*,,,,,,,,,
,PG Taught * 0 0 5 *,0 * 0,0 5 0,0 * 0,0,,,,,,,,,
,European In.. PG Taught * 0 0 * *,* * 0,0 * *,0 * *,*,,,,,,,,,
,Finance UG Degree * * 0 * 0,0 * *,* 8 *,* * *,*,,,,,,,,,
,PG Taught 26 5 * 35 5,* 25 *,0 16 *,* 12 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Geography UG Degree * * * * 0,0 * *,0 6 *,* * *,0,,,,,,,,,
,and Environ.. PG Taught * 0 0 * *,0 7 *,* 5 *,* 6 *,*,,,,,,,,,
,Government UG Degree * 0 0 * 0,0 9 *,* 5 0,0 * 0,0,,,,,,,,,
,PG Taught * * * * *,* 6 *,0 5 0,0 * 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 * *,* 0 0,0 0 0,0 * *,0,,,,,,,,,
,International.. PG Taught 0 0 0 0 0,0 * 0,0 * *,* * *,0,,,,,,,,,
Cypriot,International UG Degree * * * * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
(European,History,,,,,,,,,,,,,
Union),PG Taught 0 0 0 * *,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,International UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * * 0 * *,* * *,* * *,* 5 *,0,,,,,,,,,
,Language C.. UG Degree * * 0 0 0,0 * *,* * 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 12 5 * 18 *,* 9 *,0 14 *,* 13 *,*,,,,,,,,,
,PG Taught 36 19 12 31 13,10 15 10,5 16 6,6 19 7,*,,,,,,,,,
,Management UG Degree * * * 9 *,* 6 *,0 5 0,0 * *,*,,,,,,,,,
,PG Taught 21 6 * 16 *,* 31 7,* 34 9,7 25 10,7,,,,,,,,,
,Mathematics UG Degree 10 * * 10 *,* 8 0,0 7 *,0 9 0,0,,,,,,,,,
,PG Taught 9 * * 5 *,* 5 *,0 5 *,* 6 *,0,,,,,,,,,
,Media and C.. PG Taught * * 0 * 0,0 6 *,* * *,* * *,*,,,,,,,,,
,"Philosophy, UG Degree * 0 0 * *",* * 0,0 6 *,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 0 0,0 * *,0 * 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 * *,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught * * * * *,* * *,0 * 0,0 * 0,0,,,,,,,,,
,School of Pu.. PG Taught * * * 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Social Policy UG Degree * * * * 0,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,PG Taught * * * 0 0,0 * *,0 * *,* 0 0,0,,,,,,,,,
,Sociology UG Degree * * 0 0 0,0 * 0,0 * *,* 0 0,0,,,,,,,,,
,PG Taught 5 * * * 0,0 0 0,0 * *,* * 0,0,,,,,,,,,
,Statistics UG Degree 7 * * 11 *,* 10 *,* 7 *,* 11 *,*,,,,,,,,,
,PG Taught 16 6 * 13 5,* 9 *,* 9 *,* 6 *,0,,,,,,,,,
Cypriot (Non-,Accounting UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
European,Anthropology UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Union),,,,,,,,,,,,,,
,Economic Hi.. PG Taught 0 0 0 * *,* * *,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School PG Taught 0 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
Czech,Accounting UG Degree 0 0 0 * 0,0 0 0,0 5 *,* 6 *,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * *,* * *,* * *,*,,,,,,,,,
,Anthropology UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 * *,0,,,,,,,,,
,PG Taught * 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 * *,*,,,,,,,,,
,History PG Taught * 0 0 * *,* * 0,0 * *,0 * *,0,,,,,,,,,
,Economics UG Degree 6 0 0 * 0,0 * 0,0 9 *,0 * *,0,,,,,,,,,
,PG Taught * * 0 0 0,0 5 0,0 * *,* * 0,0,,,,,,,,,
,European In.. PG Taught 5 * * * *,* * *,* * *,* * 0,0,,,,,,,,,
,Finance UG Degree * * 0 * 0,0 0 0,0 7 *,* * *,*,,,,,,,,,
,PG Taught 9 6 * * *,* 9 *,0 * *,* * 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 * *,* 0 0,0 * *,* 0 0,0,,,,,,,,,
,Geography UG Degree * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,and Environ.. PG Taught * * * 6 *,* * 0,0 * *,* * 0,0,,,,,,,,,
,Government UG Degree 11 * * 8 *,* 6 *,0 * *,0 * 0,0,,,,,,,,,
,PG Taught * * * * *,0 * *,0 7 *,0 * *,0,,,,,,,,,
,Health Policy PG Taught * * 0 * *,* * *,* 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 6 * 0 * *,* * *,0 * *,* * *,*,,,,,,,,,
,International UG Degree * * 0 * 0,0 0 0,0 * 0,0 6 *,0,,,,,,,,,
,History PG Taught * * * 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,International UG Degree * 0 0 * *,* * *,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * 0 0 * *,* * 0,0 5 *,* * *,*,,,,,,,,,
,Language C.. UG Degree * 0 0 * 0,0 * 0,0 0 0,0 * *,*,,,,,,,,,
Czech,Law School UG Degree 13 * * 5 *,* 9 *,0 5 *,* * *,*,,,,,,,,,
,PG Taught 0 0 0 5 *,* 7 *,* * 0,0 * *,0,,,,,,,,,
,Management UG Degree 5 0 0 * *,* * *,0 * *,0 * 0,0,,,,,,,,,
,PG Taught 10 * * 7 *,* * *,0 10 *,* 6 *,*,,,,,,,,,
,Mathematics UG Degree * * 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 * 0,0 * *,0,,,,,,,,,
,Media and C.. PG Taught * * 0 * 0,0 * *,* * *,0 0 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 * 0,0 * *,0 * *,0 * 0,0,,,,,,,,,
,"Philosophy, UG Degree 5 * 0 9 *",0 * 0,0 5 0,0 * *,0,,,,,,,,,
,Logic and S.. PG Taught * 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 * *,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught * * 0 * *,* 5 *,0 * 0,0 * *,*,,,,,,,,,
,School of Pu.. PG Taught * * * 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Social Policy UG Degree * 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * * * * *,0 * *,* * *,0 * *,0,,,,,,,,,
,Sociology UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 * *,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,Statistics UG Degree * 0 0 * 0,0 * *,* * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
Danish,Accounting UG Degree * * 0 * 0,0 * *,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * *,* * 0,0 0 0,0,,,,,,,,,
,Anthropology UG Degree 6 * * * *,* * *,* * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 * 0,0 * *,*,,,,,,,,,
,Economic UG Degree * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Economics UG Degree 14 0 0 9 *,* 6 0,0 6 0,0 6 0,0,,,,,,,,,
,PG Taught 7 * * 7 *,* * *,* 5 *,0 7 6,*,,,,,,,,,
,European In.. PG Taught 0 0 0 * *,0 * *,* * 0,0 7 5,*,,,,,,,,,
,Finance UG Degree 0 0 0 5 *,* * *,* 6 0,0 * 0,0,,,,,,,,,
,PG Taught 5 * * 8 *,* 17 7,* 8 5,* 6 *,*,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 * *,* * *,0 * *,0 * 0,0,,,,,,,,,
,Geography UG Degree * * 0 * *,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught 5 * * * *,* 9 *,* 6 *,* 5 *,*,,,,,,,,,
,Government UG Degree 24 * * 11 *,0 9 *,* 9 0,0 6 *,0,,,,,,,,,
,PG Taught 9 * * 8 6,* 5 *,* 8 *,* 5 *,*,,,,,,,,,
,Health Policy PG Taught * * * * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 5 * * * 0,0 * *,0 * *,0 5 *,*,,,,,,,,,
,International UG Degree 7 * * * *,* * 0,0 * *,0 * *,0,,,,,,,,,
,History PG Taught 0 0 0 * *,0 0 0,0 * *,0 * *,*,,,,,,,,,
,International UG Degree 8 0 0 6 *,0 * 0,0 0 0,0 6 *,0,,,,,,,,,
,Relations PG Taught 5 * * 6 *,* 5 *,* * *,0 9 5,*,,,,,,,,,
,Language C.. UG Degree * * 0 * *,* * *,0 * *,0 0 0,0,,,,,,,,,
,Law School UG Degree 5 * 0 7 *,0 13 0,0 7 *,* * 0,0,,,,,,,,,
,PG Taught 8 * 0 * *,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,Management UG Degree 11 * * * *,0 6 0,0 * *,0 * 0,0,,,,,,,,,
,PG Taught 14 6 * 6 *,* 11 *,* * 0,0 8 *,*,,,,,,,,,
,Mathematics UG Degree * * 0 5 *,* * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 5 * * 0 0,0 * *,* * *,* * *,0,,,,,,,,,
,Media and C.. PG Taught * * * * *,* * *,* * *,* * *,*,,,,,,,,,
,Methodology PG Taught * 0 0 * *,* * *,* * *,0 * 0,0,,,,,,,,,
,"Philosophy, UG Degree 14 * * 16 *",* 7 0,0 6 *,0 * 0,0,,,,,,,,,
Danish,Logic and S.. PG Taught 6 * * * *,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,Psychological UG Degree * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,and Behavio.. PG Taught 6 * * * *,* 5 *,* 8 5,* * *,*,,,,,,,,,
,School of Pu.. PG Taught * 0 0 * *,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,Social Policy UG Degree * * 0 * 0,0 * 0,0 0 0,0 * *,0,,,,,,,,,
,PG Taught * * 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Sociology UG Degree * * 0 * *,* * *,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * * 7 5,* 6 *,* * 0,0 * *,*,,,,,,,,,
,Statistics UG Degree * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * * * 0,0 0 0,0 * 0,0 * *,*,,,,,,,,,
Djibouti,Accounting UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,"Philosophy, .. UG Degree 0 0 0 0 0",0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Dominican,Accounting UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Anthropology UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Economic Hi.. UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Economics UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Finance PG Taught * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Geography .. UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,International UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,International.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Management UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * * * 0 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,Media and C.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,"Philosophy, .. UG Degree * * 0 0 0",0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Sociology PG Taught 0 0 0 0 0,0 * 0,0 * *,* 0 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
Dominican,Accounting UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
Republic,Economics PG Taught * 0 0 * 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,Finance PG Taught 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
